alic_import_by_origin, geo
alic_import_price, geo
alic_import_quantity, geo
alic_num_farms_inventory, geo
alic_pork_retail_price, geo
alic_pork_supply_demand, geo
alic_wholesale_carcass_price, geo
bordbia_cereal_price, area
bordbia_dairy_price, area
bordbia_pig_price, area
bordbia_pig_throughput, member_state
bpex_annual_slaughtering, member_state
bpex_per_capita_consumption, geo
bpex_weekly_slaughtering, member_state
clal_milk_price, area
clal_milk_production, area
comtrade_all_trade, reporter
comtrade_all_trade, partner
dairyaustralia_production_type, area
dairyaustralia_sales_type, area
dairyco_production, area
dairyco_uk_price, area
dairyco_world_price, area
ec_europa_dairy_price, geo
ec_europa_milk_price, geo
eurostat_cows_milk_monthly, geo
eurostat_milk_dairy_annual, geo
eurostat_milk_prod_util_annual, geo
eurostat_meat_trade, reporter
eurostat_meat_trade, partner
eurostat_pig_slaughtering, geo
eurostat_population_annual, geo
futures_casein_price, geo
hgca_grain_price, area
oecd_economic_stats, geo
oecd_normalised_gdp, geo
oecd_past_forecasts, geo
oecd_population, geo
oecd_population_vital_stats, geo
pig333_pig_price, geo
statcan_all_meat_trade, reporter
statcan_all_meat_trade, partner
statcan_dairy_trade, reporter
statcan_dairy_trade, partner
usda_all_animal_products, state
usda_dairy_quickstats, state
usda_pig_crops, state
usda_pork_production_stocks, state
usda_psd_dairy, geo
usda_psd_livestock, geo
usda_trade_flow_dairy, reporter_code
usda_trade_flow_dairy, partner
usda_trade_flow_pig, reporter_code
usda_trade_flow_pig, partner