code,code,name,name,original name,,,
NL, NL, NEWFOUNDLAND AND LABRADOR, NEWFOUNDLAND AND LABRADOR, NEWFOUNDLAND AND LABRADOR,,,
PE, PE, PRINCE EDWARD ISLAND, PRINCE EDWARD ISLAND, PRINCE EDWARD ISLAND,,,
QC, QC, QUEBEC, QUEBEC, CANADA-QUEBEC,,,
NS, NS, NOVA SCOTIA, NOVA SCOTIA, NOVA SCOTIA,,,
SK, SK, SASKATCHEWAN, SASKATCHEWAN, SASKATCHEWAN,,,
QC, QC, QUEBEC, QUEBEC, QUEBEC,,,
BC, BC, BRITISH COLUMBIA, BRITISH COLUMBIA, BRITISH COLUMBIA,,,
AB, AB, ALBERTA, ALBERTA, ALBERTA,,,
ON, ON, ONTARIO, ONTARIO, CANADA-ONTARIO,,,
ON, ON, ONTARIO, ONTARIO, ONTARIO,,,
NB, NB, NEW BRUNSWICK, NEW BRUNSWICK, NEW BRUNSWICK,,,