hs_code,type,datas_code,datas_desc,type_pure_string
0401100100,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- not exceeding 1%- fresh,0401100100,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- not exceeding 1%- fresh,milkandcreamnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentbyweightnotexceeding1%fresh
0401100900,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- not exceeding 1%- other than fresh,0401100900,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- not exceeding 1%- other than fresh,milkandcreamnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentbyweightnotexceeding1%otherthanfresh
0401200100,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 1% but not exceeding 6%- fresh,0401200100,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 1% but not exceeding 6%- fresh,milkandcreamnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentbyweightexceeding1%butnotexceeding6%fresh
0401200900,milk and cream- other than fresh- not concentrated- not containing added sugar or other sweetening matter- of a fat content exceeding 1% but not exceeding 6% (by weight),0401200900,milk and cream- other than fresh- not concentrated- not containing added sugar or other sweetening matter- of a fat content exceeding 1% but not exceeding 6% (by weight),milkandcreamotherthanfreshnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentexceeding1%butnotexceeding6%byweight
0401200901,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 1% but not exceeding 6%- UHT milk,0401200901,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 1% but not exceeding 6%- UHT milk,milkandcreamnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentbyweightexceeding1%butnotexceeding6%UHTmilk
0401200905,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 1% but not exceeding 6%- other than fresh or UHT milk,0401200905,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 1% but not exceeding 6%- other than fresh or UHT milk,milkandcreamnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentbyweightexceeding1%butnotexceeding6%otherthanfreshorUHTmilk
0401300100,milk and cream- fresh- not concentrated- not containing added sugar or other sweetening matter- of a fat content exceeding 6% (by weight),0401300100,milk and cream- fresh- not concentrated- not containing added sugar or other sweetening matter- of a fat content exceeding 6% (by weight),milkandcreamfreshnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentexceeding6%byweight
0401300900,milk and cream- other than fresh- not concentrated- not containing added sugar or other sweetening matter- of a fat content exceeding 6% (by weight),0401300900,milk and cream- other than fresh- not concentrated- not containing added sugar or other sweetening matter- of a fat content exceeding 6% (by weight),milkandcreamotherthanfreshnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentexceeding6%byweight
0401400010,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 6% but not exceeding 10%- fresh,0401400010,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 6% but not exceeding 10%- fresh,milkandcreamnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentbyweightexceeding6%butnotexceeding10%fresh
0401400019,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 6% but not exceeding 10%- other than fresh,0401400019,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 6% but not exceeding 10%- other than fresh,milkandcreamnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentbyweightexceeding6%butnotexceeding10%otherthanfresh
0401500010,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 10%- fresh,0401500010,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 10%- fresh,milkandcreamnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentbyweightexceeding10%fresh
0401500019,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 10%- other than fresh,0401500019,milk and cream- not concentrated- not containing added sugar or other sweetening matter- of a fat content- by weight- exceeding 10%- other than fresh,milkandcreamnotconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentbyweightexceeding10%otherthanfresh
0402100001,milk- concentrated or containing added sugar or other sweetening matter- in powder- granules or other solid forms- of a fat content not exceeding 1.5% (by weight),0402100001,milk- concentrated or containing added sugar or other sweetening matter- in powder- granules or other solid forms- of a fat content not exceeding 1.5% (by weight),milkconcentratedorcontainingaddedsugarorothersweeteningmatterinpowdergranulesorothersolidformsofafatcontentnotexceeding15%byweight
0402100002,milk and cream- concentrated or containing added sugar or other sweetening matter- skimmed milk powder- spray process- fat content not over 1.5%,0402100002,milk and cream- concentrated or containing added sugar or other sweetening matter- skimmed milk powder- spray process- fat content not over 1.5%,milkandcreamconcentratedorcontainingaddedsugarorothersweeteningmatterskimmedmilkpowdersprayprocessfatcontentnotover15%
0402100009,milk and cream- concentrated or containing added sugar or other sweetening matter- skimmed milk powder- not spray process- fat content not over 1.5%,0402100009,milk and cream- concentrated or containing added sugar or other sweetening matter- skimmed milk powder- not spray process- fat content not over 1.5%,milkandcreamconcentratedorcontainingaddedsugarorothersweeteningmatterskimmedmilkpowdernotsprayprocessfatcontentnotover15%
0402100011,skimmed milk powder- produced by a spray process- concentrated or containing added sugar or other sweetening matter- of a fat content not exceeding 1.5% (by weight),0402100011,skimmed milk powder- produced by a spray process- concentrated or containing added sugar or other sweetening matter- of a fat content not exceeding 1.5% (by weight),skimmedmilkpowderproducedbyasprayprocessconcentratedorcontainingaddedsugarorothersweeteningmatterofafatcontentnotexceeding15%byweight
0402100018,milk and cream- concentrated or containing added sugar or other sweetening matter- in powder- granules or other solid forms- fat content not over 1.5%- other than skimmed milk powder,0402100018,milk and cream- concentrated or containing added sugar or other sweetening matter- in powder- granules or other solid forms- fat content not over 1.5%- other than skimmed milk powder,milkandcreamconcentratedorcontainingaddedsugarorothersweeteningmatterinpowdergranulesorothersolidformsfatcontentnotover15%otherthanskimmedmilkpowder
0402100019,skimmed milk powder- produced by other than a spray process- concentrated or containing added sugar or other sweetening matter- of a fat content not exceeding 1.5% (by weight),0402100019,skimmed milk powder- produced by other than a spray process- concentrated or containing added sugar or other sweetening matter- of a fat content not exceeding 1.5% (by weight),skimmedmilkpowderproducedbyotherthanasprayprocessconcentratedorcontainingaddedsugarorothersweeteningmatterofafatcontentnotexceeding15%byweight
0402210001,whole milk powder- concentrated- not containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- prepared for use as infants' or invalids' foods,0402210001,whole milk powder- concentrated- not containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- prepared for use as infants' or invalids' foods,wholemilkpowderconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentexceeding15%byweightpreparedforuseasinfantsorinvalidsfoods
0402210009,whole milk powder and blended full cream powder- concentrated- not containing added sugar or other sweetening matter- fat content over 1.5% (by weight) with less than 26% butterfat,0402210009,whole milk powder and blended full cream powder- concentrated- not containing added sugar or other sweetening matter- fat content over 1.5% (by weight) with less than 26% butterfat,wholemilkpowderandblendedfullcreampowderconcentratednotcontainingaddedsugarorothersweeteningmatterfatcontentover15%byweightwithlessthan26%butterfat
0402210019,whole milk powder- concentrated- not containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- n.e.c. in item no. 0402.21,0402210019,whole milk powder- concentrated- not containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- n.e.c. in item no. 0402.21,wholemilkpowderconcentratednotcontainingaddedsugarorothersweeteningmatterofafatcontentexceeding15%byweightnecinitemno040221
0402210029,milk and cream- in powder- granules or other solid forms- concentrated- no added sweetening matter- of a fat content over 1.5% (by weight)- n.e.c. in item no. 0402.21,0402210029,milk and cream- in powder- granules or other solid forms- concentrated- no added sweetening matter- of a fat content over 1.5% (by weight)- n.e.c. in item no. 0402.21,milkandcreaminpowdergranulesorothersolidformsconcentratednoaddedsweeteningmatterofafatcontentover15%byweightnecinitemno040221
0402290001,whole milk powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- prepared for use as infants' or invalids' foods,0402290001,whole milk powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- prepared for use as infants' or invalids' foods,wholemilkpowdercontainingaddedsugarorothersweeteningmatterofafatcontentexceeding15%byweightpreparedforuseasinfantsorinvalidsfoods
0402290009,whole milk powder and blended full cream powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight) with less than 26% butterfat,0402290009,whole milk powder and blended full cream powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight) with less than 26% butterfat,wholemilkpowderandblendedfullcreampowdercontainingaddedsugarorothersweeteningmatterofafatcontentexceeding15%byweightwithlessthan26%butterfat
0402290019,whole milk powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- n.e.c. in item no. 0402.29,0402290019,whole milk powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- n.e.c. in item no. 0402.29,wholemilkpowdercontainingaddedsugarorothersweeteningmatterofafatcontentexceeding15%byweightnecinitemno040229
0402290029,milk and cream- in powder- granules or other solid forms- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- n.e.c. in item no. 0402.29,0402290029,milk and cream- in powder- granules or other solid forms- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- n.e.c. in item no. 0402.29,milkandcreaminpowdergranulesorothersolidformscontainingaddedsugarorothersweeteningmatterofafatcontentexceeding15%byweightnecinitemno040229
0402910000,milk and cream- concentrated- not containing added sugar or other sweetening matter- other than in powder- granules or other solid forms,0402910000,milk and cream- concentrated- not containing added sugar or other sweetening matter- other than in powder- granules or other solid forms,milkandcreamconcentratednotcontainingaddedsugarorothersweeteningmatterotherthaninpowdergranulesorothersolidforms
0402990001,milk and cream- condensed,0402990001,milk and cream- condensed,milkandcreamcondensed
0402990009,milk and cream- evaporated,0402990009,milk and cream- evaporated,milkandcreamevaporated
0403100000,yoghurt- whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa,0403100000,yoghurt- whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa,yoghurtwhetherornotconcentratedorcontainingaddedsugarorothersweeteningmatterorflavouredorcontainingaddedfruitorcocoa
0403900100,buttermilk- curdled milk and cream- kephir and other fermented or acidified milk and cream- not concentrated or sweetened- with or without flavouring- added fruit or cocoa (excluding yoghurt),0403900100,buttermilk- curdled milk and cream- kephir and other fermented or acidified milk and cream- not concentrated or sweetened- with or without flavouring- added fruit or cocoa (excluding yoghurt),buttermilkcurdledmilkandcreamkephirandotherfermentedoracidifiedmilkandcreamnotconcentratedorsweetenedwithorwithoutflavouringaddedfruitorcocoaexcludingyoghurt
0403901100,buttermilk- curdled milk and cream- kephir and other fermented or acidified milk and cream- concentrated or sweetened- with or without flavouring- fruit- cocoa- liquid or semi-solid (excluding yoghurt),0403901100,buttermilk- curdled milk and cream- kephir and other fermented or acidified milk and cream- concentrated or sweetened- with or without flavouring- fruit- cocoa- liquid or semi-solid (excluding yoghurt),buttermilkcurdledmilkandcreamkephirandotherfermentedoracidifiedmilkandcreamconcentratedorsweetenedwithorwithoutflavouringfruitcocoaliquidorsemisolidexcludingyoghurt
0403901901,buttermilk powder- produced by a spray process- concentrated or sweetened- with or without flavouring- added fruit or cocoa,0403901901,buttermilk powder- produced by a spray process- concentrated or sweetened- with or without flavouring- added fruit or cocoa,buttermilkpowderproducedbyasprayprocessconcentratedorsweetenedwithorwithoutflavouringaddedfruitorcocoa
0403901909,buttermilk powder- produced by other than a spray process- concentrated or sweetened- with or without flavouring- added fruit or cocoa,0403901909,buttermilk powder- produced by other than a spray process- concentrated or sweetened- with or without flavouring- added fruit or cocoa,buttermilkpowderproducedbyotherthanasprayprocessconcentratedorsweetenedwithorwithoutflavouringaddedfruitorcocoa
0403901911,fermented or acidified milk and cream- concentrated or sweetened- in powder or granules- containing not more than 1.5% by way of fat- n.e.c. in heading no. 0403,0403901911,fermented or acidified milk and cream- concentrated or sweetened- in powder or granules- containing not more than 1.5% by way of fat- n.e.c. in heading no. 0403,fermentedoracidifiedmilkandcreamconcentratedorsweetenedinpowderorgranulescontainingnotmorethan15%bywayoffatnecinheadingno0403
0403901919,fermented or acidified milk and cream- concentrated or sweetened- in powder or granules- containing more than 1.5% by way of fat- n.e.c. in heading no. 0403,0403901919,fermented or acidified milk and cream- concentrated or sweetened- in powder or granules- containing more than 1.5% by way of fat- n.e.c. in heading no. 0403,fermentedoracidifiedmilkandcreamconcentratedorsweetenedinpowderorgranulescontainingmorethan15%bywayoffatnecinheadingno0403
0403901921,fermented or acidified milk and cream- condensed- n.e.c. in heading no. 0403,0403901921,fermented or acidified milk and cream- condensed- n.e.c. in heading no. 0403,fermentedoracidifiedmilkandcreamcondensednecinheadingno0403
0403901929,fermented or acidified milk and cream- evaporated- n.e.c. in heading no. 0403,0403901929,fermented or acidified milk and cream- evaporated- n.e.c. in heading no. 0403,fermentedoracidifiedmilkandcreamevaporatednecinheadingno0403
0403901939,fermented or acidified milk and cream- other than condensed or evaporated- n.e.c. in heading no. 0403,0403901939,fermented or acidified milk and cream- other than condensed or evaporated- n.e.c. in heading no. 0403,fermentedoracidifiedmilkandcreamotherthancondensedorevaporatednecinheadingno0403
0404100000,whey- whether or not concentrated or containing added sugar or other sweetening matter,0404100000,whey- whether or not concentrated or containing added sugar or other sweetening matter,wheywhetherornotconcentratedorcontainingaddedsugarorothersweeteningmatter
