"Date (Figures are in Â£ per head)","Average 30kg","Average 7kg"
"05 Jul 2014","56.65","40.31"
"12 Jul 2014","55.36","40.09"
"19 Jul 2014","55.25","40.58"
"26 Jul 2014","57.03","39.71"
"02 Aug 2014","56.07","40.19"
"09 Aug 2014","51.74","40.46"
"16 Aug 2014","55.56","38.56"
"23 Aug 2014","51.24","38.79"
"30 Aug 2014","53.75","39.24"
"06 Sep 2014","52.56","38.46"
"13 Sep 2014","52.00","38.83"
"20 Sep 2014","53.15","38.15"
"27 Sep 2014","51.75","37.94"
"04 Oct 2014","49.17","37.88"
"11 Oct 2014","48.97","37.58"
"18 Oct 2014","50.43","37.66"
"25 Oct 2014","47.49","36.45"
"01 Nov 2014","48.91","36.31"
"08 Nov 2014","49.25","35.73"
"15 Nov 2014","50.64","35.33"
"22 Nov 2014","48.23","35.20"
"29 Nov 2014","48.10","33.29"
"06 Dec 2014","46.68","34.47"
"13 Dec 2014","46.85","35.28"
"20 Dec 2014","46.80","34.68"
"27 Dec 2014","48.22","34.35"
"03 Jan 2015","44.38","34.66"
"10 Jan 2015","47.85","34.38"
"17 Jan 2015","46.12","33.80"
"24 Jan 2015","47.10","34.15"
"31 Jan 2015","44.60","33.79"
"07 Feb 2015","45.92","33.57"
"14 Feb 2015","44.42","33.21"
"21 Feb 2015","46.03","33.41"
"28 Feb 2015","44.82","33.83"
"07 Mar 2015","44.81","33.20"
"14 Mar 2015","44.59","33.04"
"21 Mar 2015","44.67","33.12"
"28 Mar 2015","45.43","32.64"
"04 Apr 2015","46.28","33.32"
"11 Apr 2015","44.03","33.29"
"18 Apr 2015","43.34","33.13"
"25 Apr 2015","44.07","32.73"
"02 May 2015","44.42","33.35"
"09 May 2015","44.18","33.30"
"16 May 2015","44.60","33.04"
"23 May 2015","44.82","32.87"
"30 May 2015","43.28","33.16"
"06 Jun 2015","44.82","33.25"
"13 Jun 2015","44.52","32.60"
"20 Jun 2015","44.08","33.12"
"27 Jun 2015","43.47","32.57"
"04 Jul 2015","43.51","32.76"
"11 Jul 2015","45.03","32.49"
"18 Jul 2015","43.84","33.10"
"25 Jul 2015","45.45","33.11"
"01 Aug 2015","43.85","32.87"
"08 Aug 2015","43.99","33.20"
"15 Aug 2015","43.61","33.18"
"22 Aug 2015","44.02","32.68"
"29 Aug 2015","44.09","32.13"
"05 Sep 2015","43.65","33.25"
"12 Sep 2015","45.10","32.39"
"19 Sep 2015","45.21","32.38"
"26 Sep 2015","43.51","32.60"
"03 Oct 2015","44.52","32.00"
"10 Oct 2015","43.68","32.16"
"17 Oct 2015","43.25","32.85"
"24 Oct 2015","43.03","31.79"
"31 Oct 2015","42.75","32.48"
"07 Nov 2015","42.33","31.45"
"14 Nov 2015","42.14","31.52"
"21 Nov 2015","41.64","30.78"
"28 Nov 2015","40.55","31.84"
"05 Dec 2015","39.87","31.09"
"12 Dec 2015","41.89","30.23"
"19 Dec 2015","40.00","31.07"
"26 Dec 2015","40.89","31.11"
"02 Jan 2016","39.04","31.55"
"09 Jan 2016","39.59","31.34"
"16 Jan 2016","37.93","30.06"
"23 Jan 2016","36.10","28.87"
"30 Jan 2016","36.45","30.23"
"06 Feb 2016","35.86","29.57"
"13 Feb 2016","37.20","29.17"
"20 Feb 2016","35.47","29.05"
"27 Feb 2016","37.76","28.79"
"05 Mar 2016","36.61","28.32"
"12 Mar 2016","36.54","29.36"
"19 Mar 2016","36.82","27.79"
"26 Mar 2016","36.96","28.82"
"02 Apr 2016","35.86","28.64"
"09 Apr 2016","37.93","28.53"
"16 Apr 2016","35.67","28.99"
"23 Apr 2016","37.35","29.58"
"30 Apr 2016","39.19","28.52"
"07 May 2016","38.66","29.01"
"14 May 2016","36.96","29.33"
"21 May 2016","39.22","29.27"
"28 May 2016","39.34","29.09"
"04 Jun 2016","39.42","29.80"
"11 Jun 2016","40.40","29.85"
"18 Jun 2016","40.45","30.09"
"25 Jun 2016","40.42","30.48"
"02 Jul 2016","41.28","30.18"
"09 Jul 2016","42.82","31.06"
"16 Jul 2016","42.75","31.33"
"23 Jul 2016","43.15","31.66"
"30 Jul 2016","44.00","31.98"
"06 Aug 2016","44.82","32.68"
"13 Aug 2016","45.04","32.73"
"20 Aug 2016","45.52","33.15"
"27 Aug 2016","47.88","33.91"
"03 Sep 2016","46.15","34.40"
"10 Sep 2016","47.08","34.57"
"17 Sep 2016","47.27","35.13"
"24 Sep 2016","49.05","35.55"
"01 Oct 2016","49.36","36.43"
"08 Oct 2016","49.83","36.40"
"15 Oct 2016","49.77","36.37"
"22 Oct 2016","50.72","36.39"
"29 Oct 2016","48.81","37.48"
"05 Nov 2016","54.41","37.14"
"12 Nov 2016","53.99","36.77"
"19 Nov 2016","53.70","37.74"
"26 Nov 2016","53.01","37.85"
"03 Dec 2016","53.12","37.48"
"10 Dec 2016","56.54","38.46"
"17 Dec 2016","55.34","39.13"
"24 Dec 2016","53.51","38.48"
"31 Dec 2016","56.47","39.00"
"07 Jan 2017","56.65","37.92"
"14 Jan 2017","53.93","38.59"
"21 Jan 2017","55.45","39.17"
"28 Jan 2017","54.85","39.26"
"04 Feb 2017","54.98","38.22"
"11 Feb 2017","56.60","39.03"
"18 Feb 2017","55.12","38.23"
"25 Feb 2017","56.24","38.13"
"04 Mar 2017","55.26","38.50"
"11 Mar 2017","55.65","38.50"
"18 Mar 2017","55.27","38.27"
"25 Mar 2017","56.84","39.36"
"01 Apr 2017","58.12","39.77"
"08 Apr 2017","59.08","39.38"
"15 Apr 2017","55.51","39.81"
"22 Apr 2017","58.27","40.81"
"29 Apr 2017","na","41.01"
"06 May 2017","58.83","41.22"
"13 May 2017","59.36","42.32"
"20 May 2017","59.78","42.78"
"27 May 2017","59.90","43.31"
"03 Jun 2017","60.25","43.29"
"10 Jun 2017","59.54","43.86"
"17 Jun 2017","60.86","43.96"
"24 Jun 2017","60.25","44.37"
"01 Jul 2017","59.95","43.91"
"08 Jul 2017","61.12","43.98"
"15 Jul 2017","61.34","43.49"
"22 Jul 2017","59.49","44.61"
"29 Jul 2017","59.87","44.34"
"05 Aug 2017","60.06","45.00"
"12 Aug 2017","61.17","44.55"
"19 Aug 2017","58.59","44.25"
"26 Aug 2017","60.70","44.90"
"02 Sep 2017","60.31","44.42"
"09 Sep 2017","59.34","43.83"
"16 Sep 2017","58.49","44.32"
"23 Sep 2017","60.22","42.77"
"30 Sep 2017","58.31","44.03"
"07 Oct 2017","55.93","43.33"
"14 Oct 2017","58.23","42.18"
"21 Oct 2017","56.30","41.80"
"28 Oct 2017","58.73","42.99"
"04 Nov 2017","56.19","42.02"
"11 Nov 2017","57.05","41.99"
"18 Nov 2017","55.72","41.11"
"25 Nov 2017","56.07","41.25"
"02 Dec 2017","52.92","40.16"
"09 Dec 2017","56.41","40.50"
"16 Dec 2017","51.61","40.62"
"23 Dec 2017","50.90","40.36"
"30 Dec 2017","54.96","40.17"
"06 Jan 2018","na","38.13"
"13 Jan 2018","51.81","37.72"
"20 Jan 2018","53.09","37.88"
"27 Jan 2018","51.70","36.65"
"03 Feb 2018","53.22","37.32"
"10 Feb 2018","52.96","38.13"
"17 Feb 2018","na","36.45"
"24 Feb 2018","50.18","36.85"
"03 Mar 2018","na","35.75"
"10 Mar 2018","50.30","37.44"
"17 Mar 2018","50.99","37.23"
"24 Mar 2018","50.01","38.01"
"31 Mar 2018","na","38.02"
"07 Apr 2018","na","36.98"
"14 Apr 2018","51.83","37.19"
"21 Apr 2018","na","36.98"
"28 Apr 2018","50.16","35.92"
"05 May 2018","52.79","37.38"
"12 May 2018","47.50","37.64"
"19 May 2018","53.31","37.06"
"26 May 2018","52.30","38.07"
"02 Jun 2018","na","37.70"
"09 Jun 2018","53.94","38.07"
"16 Jun 2018","54.06","38.12"
"23 Jun 2018","na","37.25"
"30 Jun 2018","54.86","38.08"
"07 Jul 2018","54.14","39.54"
"14 Jul 2018","54.25","39.33"
"21 Jul 2018","55.39","39.00"
"28 Jul 2018","53.34","39.49"
"04 Aug 2018","56.07","39.39"
"11 Aug 2018","52.79","37.41"
"18 Aug 2018","51.92","38.51"
"25 Aug 2018","na","37.35"
"01 Sep 2018","54.92","37.49"
"08 Sep 2018","53.74","37.74"
"15 Sep 2018","50.98","35.01"
"22 Sep 2018","55.16","34.50"
"29 Sep 2018","51.87","37.32"
"06 Oct 2018","46.64","36.07"
"13 Oct 2018","52.16","37.55"
"20 Oct 2018","47.54","36.92"
"27 Oct 2018","na","36.92"
"03 Nov 2018","na","35.68"
"10 Nov 2018","49.23","37.06"
"17 Nov 2018","na","35.31"
"24 Nov 2018","na","38.16"
"01 Dec 2018","43.55","36.50"
"08 Dec 2018","43.24","33.97"
"15 Dec 2018","43.61","35.24"
"22 Dec 2018","47.61","36.44"
"29 Dec 2018","44.54","35.62"
"05 Jan 2019","47.34","36.07"
"12 Jan 2019","47.59","36.96"
"19 Jan 2019","43.91","35.56"
"26 Jan 2019","na","34.70"
"02 Feb 2019","43.37","37.29"
"09 Feb 2019","na","35.39"
"16 Feb 2019","na","35.83"
"23 Feb 2019","48.93","36.77"
"02 Mar 2019","na","35.39"
"09 Mar 2019","45.85","35.15"
"16 Mar 2019","45.17","35.55"
"23 Mar 2019","na","35.45"
"30 Mar 2019","47.87","35.23"
"06 Apr 2019","47.45","36.03"
"13 Apr 2019","na","35.73"
"20 Apr 2019","na","35.27"
"27 Apr 2019","45.28","35.53"
"04 May 2019","45.59","35.30"
"11 May 2019","na","35.73"
"18 May 2019","47.86","36.22"
"25 May 2019","na","36.65"
"01 Jun 2019","50.16","36.25"
"08 Jun 2019","na","37.24"
"15 Jun 2019","50.74","36.71"
"22 Jun 2019","na","36.48"
