"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"World Total","1","0403109000","YOGURT, NESOI","2015-2015","MT","723,119","226.8","707,344","222.4","1,024,838","320.9","1,076,750","358.9","977,324","308.1","1,171,601","354.0","1,275,966","331.4","1,087,853","322.8","1,370,286","397.7","1,303,449","389.3","1,001,396","323.3","1,104,726","324.2","12,824,652","3,879.9","10","0","US","R00","0403109000",""
"World Total","1","0403109000","YOGURT, NESOI","2016-2016","MT","1,540,352","483.5","1,496,520","463.4","1,725,105","555.5","1,669,184","533.6","2,759,901","870.1","1,947,455","651.0","2,091,854","845.1","1,652,083","588.9","1,713,064","600.4","2,571,520","839.4","3,446,148","1,116.7","2,949,876","980.6","25,563,062","8,528.2","-14","-12","US","R00","0403109000",""
"World Total","1","0403109000","YOGURT, NESOI","2017-2017","MT","3,453,622","1,132.8","3,856,989","1,260.8","4,114,362","1,361.3","3,818,511","1,245.1","3,832,317","1,180.5","2,961,058","920.1","3,583,639","1,100.7","3,193,805","976.2","3,318,791","1,022.4","4,090,072","1,247.6","3,201,458","969.2","2,661,873","830.7","42,086,497","13,247.4","-17","-14","US","R00","0403109000",""
"World Total","1","0403109000","YOGURT, NESOI","2018-2018","MT","3,584,125","1,091.3","3,422,111","1,026.6","3,661,159","1,075.2","3,671,902","1,148.0","4,379,166","1,403.5","3,498,533","1,099.7","4,346,581","1,412.3","3,259,269","1,070.8","3,779,848","1,156.2","3,803,972","1,157.0","3,452,951","1,074.2","3,427,836","1,036.3","44,287,453","13,751.2","-1","-4","US","R00","0403109000",""
"World Total","2","0403908500","MK/CM,F,NT/DR-LA","2015-2015","MT","339,662","19.8","292,676","15.0","245,249","11.5","473,585","24.7","183,956","9.0","375,852","21.1","294,395","16.1","422,072","21.4","282,167","17.7","418,965","24.5","519,441","28.0","182,864","12.8","4,030,884","221.6","-65","-54","US","R00","0403908500",""
"World Total","2","0403908500","MK/CM,F,NT/DR-LA","2016-2016","MT","354,577","33.7","530,931","68.8","428,653","80.0","412,757","39.6","628,183","61.4","408,436","117.0","588,605","140.1","626,891","185.6","673,488","229.4","1,043,060","314.8","769,972","250.9","1,072,132","259.1","7,537,685","1,780.5","39","3","US","R00","0403908500",""
"World Total","2","0403908500","MK/CM,F,NT/DR-LA","2017-2017","MT","798,537","233.6","449,175","227.8","773,315","221.2","771,682","295.4","517,695","185.2","635,431","178.5","813,434","147.5","523,753","147.0","502,523","80.3","627,942","180.1","605,730","171.1","566,856","99.6","7,586,073","2,167.3","-6","-42","US","R00","0403908500",""
"World Total","2","0403908500","MK/CM,F,NT/DR-LA","2018-2018","MT","735,868","126.7","628,418","86.0","607,560","123.7","651,894","209.4","700,347","166.3","536,505","83.9","495,082","171.4","674,444","159.3","580,201","186.5","558,998","195.3","669,505","275.1","700,489","173.5","7,539,311","1,957.2","5","-37","US","R00","0403908500",""
"World Total","3","0403100500","YOGURT, DRY","2015-2015","MT","140,320","39.2","142,569","55.3","164,973","61.6","142,689","55.3","96,268","57.8","138,425","38.6","166,371","56.7","115,737","32.3","146,132","51.1","114,999","32.1","178,284","61.6","206,327","69.0","1,753,094","610.6","16","12","US","R00","0403100500",""
"World Total","3","0403100500","YOGURT, DRY","2016-2016","MT","201,984","56.4","114,072","31.8","202,747","66.9","203,384","56.8","116,042","32.4","28,893","8.1","27,185","7.6","0","0.0","0","0.0","29,932","8.4","0","0.0","29,888","8.3","954,127","276.6","","","US","R00","0403100500",""
"World Total","3","0403100500","YOGURT, DRY","2017-2017","MT","29,916","8.4","0","0.0","0","0.0","29,855","8.3","29,922","8.4","29,922","8.4","29,855","8.3","0","0.0","0","0.0","87,597","24.5","203,051","56.7","55,089","15.4","495,207","138.2","-73","-73","US","R00","0403100500",""
"World Total","3","0403100500","YOGURT, DRY","2018-2018","MT","113,992","31.8","180,616","50.4","129,417","36.1","64,907","18.1","33,182","9.3","0","0.0","131,411","36.7","131,394","36.7","131,202","36.6","131,660","36.8","131,269","36.6","98,226","27.4","1,277,276","356.5","-25","-25","US","R00","0403100500",""
"World Total","4","0403901600","SC,F,NOV45,OQ","2015-2015","LITER","17,878","48,334.0","0","0.0","14,665","31,355.0","0","0.0","0","0.0","66,417","171,270.0","31,809","85,998.0","0","0.0","24,097","56,855.0","126,848","326,357.0","0","0.0","24,750","10,260.0","306,464","730,429.0","","","US","R00","0403901600",""
"World Total","4","0403901600","SC,F,NOV45,OQ","2016-2016","LITER","34,425","93,070.0","0","0.0","22,467","48,080.0","0","0.0","58,140","103,330.0","19,117","51,684.0","0","0.0","17,213","46,537.0","52,556","133,793.0","49,344","122,344.0","0","0.0","51,638","131,311.0","304,900","730,149.0","","","US","R00","0403901600",""
"World Total","4","0403901600","SC,F,NOV45,OQ","2017-2017","LITER","0","0.0","26,370","65,819.0","51,936","114,811.0","14,460","29,138.0","0","0.0","63,802","159,775.0","0","0.0","0","0.0","41,311","86,803.0","51,638","131,312.0","51,639","123,018.0","30,983","83,765.0","332,139","794,441.0","-40","-32","US","R00","0403901600",""
"World Total","4","0403901600","SC,F,NOV45,OQ","2018-2018","LITER","48,196","56,700.0","0","0.0","0","0.0","34,425","93,070.0","0","0.0","48,546","111,138.0","0","0.0","58,523","59,738.0","55,079","140,617.0","0","0.0","48,194","122,003.0","52,291","108,194.0","345,254","691,460.0","9","-11","US","R00","0403901600",""
"World Total","5","0403908700","MK/CM,NESOI","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","12,937","3.4","12,937","3.4","","","US","R00","0403908700",""
"World Total","6","0403105000","YOGURT, DRY, OQ","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3,921","0.6","3,921","0.6","","","US","R00","0403105000",""
"World Total","6","0403105000","YOGURT, DRY, OQ","2016-2016","MT","0","0.0","0","0.0","6,344","1.6","0","0.0","0","0.0","0","0.0","0","0.0","12,016","3.4","0","0.0","15,526","4.3","0","0.0","0","0.0","33,886","9.3","","","US","R00","0403105000",""
"World Total","6","0403105000","YOGURT, DRY, OQ","2017-2017","MT","0","0.0","0","0.0","9,600","2.4","0","0.0","0","0.0","0","0.0","30,769","8.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","40,369","10.4","","","US","R00","0403105000",""
"World Total","6","0403105000","YOGURT, DRY, OQ","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","2,475","0.9","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,475","0.9","","","US","R00","0403105000",""
"World Total","7","0403900400","SC,F,NOV45,QT","2015-2015","LITER","0","0.0","0","0.0","31,680","17,978.0","0","0.0","31,600","17,933.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","63,280","35,911.0","","","US","R00","0403900400",""
"World Total","7","0403900400","SC,F,NOV45,QT","2016-2016","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,565","507.0","0","0.0","0","0.0","2,565","507.0","","","US","R00","0403900400",""
"World Total","7","0403900400","SC,F,NOV45,QT","2018-2018","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,806","948.0","0","0.0","2,806","948.0","","","US","R00","0403900400",""
"World Total","8","0403902000","BUTTERMLK, FLUID","2015-2015","LITER","2,069","192.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,069","192.0","","","US","R00","0403902000",""
"World Total","8","0403902000","BUTTERMLK, FLUID","2016-2016","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3,059","3,420.0","0","0.0","3,059","3,420.0","","","US","R00","0403902000",""
"World Total","8","0403902000","BUTTERMLK, FLUID","2017-2017","LITER","0","0.0","3,420","3,660.0","0","0.0","7,397","8,800.0","0","0.0","9,997","10,800.0","0","0.0","0","0.0","0","0.0","33,300","296,567.0","0","0.0","0","0.0","54,114","319,827.0","","","US","R00","0403902000",""
"World Total","8","0403902000","BUTTERMLK, FLUID","2018-2018","LITER","12,392","110,362.0","0","0.0","0","0.0","10,100","10,000.0","11,505","12,200.0","0","0.0","14,906","15,140.0","29,444","31,360.0","30,033","33,031.0","0","0.0","28,352","33,971.0","0","0.0","136,732","246,064.0","","","US","R00","0403902000",""
"World Total","9","0403904500","SC,DRD,<6,OQ","2015-2015","MT","0","0.0","15,500","62.8","0","0.0","0","0.0","16,925","68.5","0","0.0","7,950","1.6","0","0.0","0","0.0","0","0.0","30,100","121.9","0","0.0","70,475","254.8","","","US","R00","0403904500",""
"World Total","9","0403904500","SC,DRD,<6,OQ","2016-2016","MT","0","0.0","0","0.0","0","0.0","0","0.0","18,700","75.7","0","0.0","20,600","83.4","18,700","75.7","0","0.0","0","0.0","0","0.0","0","0.0","58,000","234.9","","","US","R00","0403904500",""
"World Total","9","0403904500","SC,DRD,<6,OQ","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","26,735","108.3","0","0.0","0","0.0","0","0.0","0","0.0","13,555","54.9","40,290","163.2","","","US","R00","0403904500",""
"World Total","9","0403904500","SC,DRD,<6,OQ","2018-2018","MT","0","0.0","25,309","102.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","25,309","102.5","","","US","R00","0403904500",""
"World Total","10","0403905500","SC,DRD,6-35BF,OQ","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","13,870","18.7","0","0.0","13,870","18.7","","","US","R00","0403905500",""
"World Total","11","0403909000","MK/CM,NESOI,QT","2015-2015","MT","18,872","1.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","18,872","1.2","","","US","R00","0403909000",""
"World Total","11","0403909000","MK/CM,NESOI,QT","2017-2017","MT","263,404","38.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","263,404","38.0","","","US","R00","0403909000",""
"World Total","11","0403909000","MK/CM,NESOI,QT","2018-2018","MT","0","0.0","0","0.0","131,546","19.0","0","0.0","0","0.0","131,439","19.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","262,985","38.0","","","US","R00","0403909000",""
"World Total","12","0403909500","MK/CM,NESOI,OQ","2015-2015","MT","0","0.0","41,670","2.4","0","0.0","42,180","5.4","42,180","3.0","173,385","22.0","131,205","19.0","42,180","3.6","0","0.0","160,683","20.8","25,308","1.8","52,703","4.1","711,494","82.1","108","128","US","R00","0403909500",""
"World Total","12","0403909500","MK/CM,NESOI,OQ","2016-2016","MT","181,978","33.1","0","0.0","33,096","2.4","33,096","2.4","164,458","21.4","155,888","21.4","101,366","20.9","0","0.0","67,392","18.8","0","0.0","0","0.0","0","0.0","737,274","120.4","","","US","R00","0403909500",""
"World Total","12","0403909500","MK/CM,NESOI,OQ","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","131,628","19.0","0","0.0","0","0.0","0","0.0","136,875","19.9","0","0.0","0","0.0","0","0.0","268,503","38.9","","","US","R00","0403909500",""
"World Total","12","0403909500","MK/CM,NESOI,OQ","2018-2018","MT","0","0.0","15,216","6.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","133,595","19.5","5,850","0.6","148,054","23.9","0","0.0","302,715","50.1","","","US","R00","0403909500",""
"Canada","1","0403109000","YOGURT, NESOI","2015-2015","MT","723,119","226.8","642,693","200.9","1,007,189","310.3","1,031,060","329.7","860,247","262.2","1,060,750","316.8","1,186,277","304.7","1,075,901","320.0","1,175,778","337.3","1,249,881","367.7","967,033","295.6","1,094,291","317.2","12,074,219","3,589.3","13","7","US","CA","0403109000",""
"Canada","1","0403109000","YOGURT, NESOI","2016-2016","MT","1,067,520","321.6","878,551","274.4","968,048","314.1","1,028,085","328.5","957,446","313.8","880,249","274.7","813,494","261.8","828,007","259.7","904,352","290.5","1,591,062","498.6","1,981,658","609.4","1,881,448","584.3","13,779,920","4,331.6","-5","-4","US","CA","0403109000",""
"Canada","1","0403109000","YOGURT, NESOI","2017-2017","MT","2,389,838","736.6","2,635,133","828.8","3,064,236","960.8","3,062,880","968.6","2,593,644","753.4","2,286,310","680.7","2,661,540","787.2","2,421,780","717.0","2,731,941","816.4","3,143,541","923.8","2,536,083","745.2","2,044,646","617.1","31,571,572","9,535.4","-19","-17","US","CA","0403109000",""
"Canada","1","0403109000","YOGURT, NESOI","2018-2018","MT","2,717,676","818.5","2,502,621","736.4","2,710,979","773.0","2,230,528","690.0","2,900,881","951.4","2,494,851","807.4","2,890,317","960.6","2,254,910","762.1","2,756,855","829.4","2,541,194","780.3","2,228,915","688.8","2,252,529","686.0","30,482,256","9,484.0","1","0","US","CA","0403109000",""
"Canada","2","0403908500","MK/CM,F,NT/DR-LA","2015-2015","MT","339,662","19.8","286,479","14.9","245,249","11.5","473,585","24.7","183,956","9.0","375,852","21.1","288,396","16.1","422,072","21.4","282,167","17.7","418,965","24.5","519,441","28.0","182,864","12.8","4,018,688","221.5","-65","-54","US","CA","0403908500",""
"Canada","2","0403908500","MK/CM,F,NT/DR-LA","2016-2016","MT","354,577","33.7","497,175","47.0","330,811","18.7","392,549","26.0","602,430","48.0","260,124","20.4","353,850","16.9","310,166","18.3","397,436","22.1","603,652","32.4","380,138","20.8","695,342","43.1","5,178,250","347.4","83","107","US","CA","0403908500",""
"Canada","2","0403908500","MK/CM,F,NT/DR-LA","2017-2017","MT","437,159","22.9","160,410","9.9","477,250","22.5","436,103","32.8","322,675","22.1","425,168","19.9","703,524","52.5","381,769","30.4","427,665","28.7","359,632","20.3","393,790","19.4","447,735","23.8","4,972,880","305.1","14","23","US","CA","0403908500",""
"Canada","2","0403908500","MK/CM,F,NT/DR-LA","2018-2018","MT","605,319","32.0","544,817","25.9","469,840","23.1","384,572","19.2","520,211","29.1","446,348","22.2","295,688","16.2","535,366","26.0","419,191","20.9","395,151","27.2","432,405","31.1","579,418","39.9","5,628,326","312.8","34","28","US","CA","0403908500",""
"Canada","3","0403908700","MK/CM,NESOI","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","12,937","3.4","12,937","3.4","","","US","CA","0403908700",""
"Canada","4","0403105000","YOGURT, DRY, OQ","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3,921","0.6","3,921","0.6","","","US","CA","0403105000",""
"Canada","4","0403105000","YOGURT, DRY, OQ","2016-2016","MT","0","0.0","0","0.0","6,344","1.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6,344","1.6","","","US","CA","0403105000",""
"Canada","5","0403905500","SC,DRD,6-35BF,OQ","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6,504","15.2","0","0.0","6,504","15.2","","","US","CA","0403905500",""
"Canada","6","0403909000","MK/CM,NESOI,QT","2015-2015","MT","18,872","1.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","18,872","1.2","","","US","CA","0403909000",""
"Canada","7","0403909500","MK/CM,NESOI,OQ","2015-2015","MT","0","0.0","41,670","2.4","0","0.0","42,180","5.4","42,180","3.0","42,180","3.0","0","0.0","42,180","3.6","0","0.0","25,308","1.8","25,308","1.8","50,616","3.6","311,622","24.6","100","100","US","CA","0403909500",""
"Canada","7","0403909500","MK/CM,NESOI,OQ","2016-2016","MT","50,616","14.1","0","0.0","33,096","2.4","33,096","2.4","33,096","2.4","24,873","2.4","99,288","20.9","0","0.0","67,392","18.8","0","0.0","0","0.0","0","0.0","341,457","63.4","","","US","CA","0403909500",""
"Canada","7","0403909500","MK/CM,NESOI,OQ","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","8,257","3.4","0","0.0","8,257","3.4","","","US","CA","0403909500",""
"France(*)","1","0403109000","YOGURT, NESOI","2016-2016","MT","427,794","137.7","531,514","165.4","727,047","229.6","531,466","168.1","1,426,102","450.0","865,011","272.8","960,112","370.5","319,325","100.0","298,998","90.2","547,823","146.1","912,588","288.6","674,782","222.3","8,222,562","2,641.3","-26","-23","US","FR","0403109000",""
"France(*)","1","0403109000","YOGURT, NESOI","2017-2017","MT","615,592","236.8","694,292","237.7","704,072","241.6","334,378","114.7","964,740","331.1","291,897","99.9","643,229","221.1","520,199","182.2","320,236","120.1","763,534","262.4","401,154","144.6","464,918","166.4","6,718,241","2,358.6","16","15","US","FR","0403109000",""
"France(*)","1","0403109000","YOGURT, NESOI","2018-2018","MT","710,488","224.7","689,638","219.0","681,017","219.9","1,235,436","382.7","1,226,616","359.5","776,915","227.3","1,233,540","372.1","473,400","138.2","749,081","222.6","906,054","267.5","961,195","282.5","932,339","275.2","10,575,719","3,191.1","-3","-3","US","FR","0403109000",""
"Mexico","1","0403908500","MK/CM,F,NT/DR-LA","2016-2016","MT","0","0.0","26,852","19.9","92,892","60.1","20,208","13.6","16,940","12.7","148,312","96.6","228,186","123.2","316,725","167.3","276,052","207.3","439,408","282.4","389,834","230.1","370,840","216.0","2,326,249","1,429.1","-5","-6","US","MX","0403908500",""
"Mexico","1","0403908500","MK/CM,F,NT/DR-LA","2017-2017","MT","361,378","210.8","288,765","217.9","296,065","198.7","317,825","257.6","195,020","163.1","210,263","158.7","109,910","95.0","141,984","116.6","74,858","51.6","266,082","158.8","211,940","151.7","102,414","74.8","2,576,504","1,855.3","-52","-51","US","MX","0403908500",""
"Mexico","1","0403908500","MK/CM,F,NT/DR-LA","2018-2018","MT","130,549","94.7","83,601","60.2","137,720","100.6","263,409","188.4","180,136","137.1","80,145","60.0","199,394","155.1","132,856","131.9","155,613","165.6","163,847","168.1","229,489","243.9","121,071","133.7","1,877,830","1,639.5","-47","-45","US","MX","0403908500",""
"Mexico","2","0403901600","SC,F,NOV45,OQ","2015-2015","LITER","17,878","48,334.0","0","0.0","14,665","31,355.0","0","0.0","0","0.0","66,417","171,270.0","31,809","85,998.0","0","0.0","24,097","56,855.0","126,848","326,357.0","0","0.0","0","0.0","281,714","720,169.0","","","US","MX","0403901600",""
"Mexico","2","0403901600","SC,F,NOV45,OQ","2016-2016","LITER","34,425","93,070.0","0","0.0","22,467","48,080.0","0","0.0","34,425","93,070.0","19,117","51,684.0","0","0.0","17,213","46,537.0","52,556","133,793.0","49,344","122,344.0","0","0.0","51,638","131,311.0","281,185","719,889.0","","","US","MX","0403901600",""
"Mexico","2","0403901600","SC,F,NOV45,OQ","2017-2017","LITER","0","0.0","26,370","65,819.0","51,936","114,811.0","14,460","29,138.0","0","0.0","63,802","159,775.0","0","0.0","0","0.0","41,311","86,803.0","51,638","131,312.0","51,639","123,018.0","30,983","83,765.0","332,139","794,441.0","-40","-32","US","MX","0403901600",""
"Mexico","2","0403901600","SC,F,NOV45,OQ","2018-2018","LITER","48,196","56,700.0","0","0.0","0","0.0","34,425","93,070.0","0","0.0","42,296","106,058.0","0","0.0","58,523","59,738.0","55,079","140,617.0","0","0.0","48,194","122,003.0","52,291","108,194.0","339,004","686,380.0","9","-11","US","MX","0403901600",""
"Mexico","3","0403109000","YOGURT, NESOI","2015-2015","MT","0","0.0","0","0.0","0","0.0","14,788","7.5","0","0.0","20,810","8.4","13,589","6.2","0","0.0","6,145","3.9","20,791","8.8","13,466","16.2","0","0.0","89,589","50.9","","","US","MX","0403109000",""
"Mexico","3","0403109000","YOGURT, NESOI","2016-2016","MT","21,866","17.8","0","0.0","0","0.0","17,277","6.7","0","0.0","37,892","40.9","129,810","117.4","177,315","137.1","130,725","108.2","130,902","103.6","176,470","112.2","142,994","96.7","965,251","740.7","-19","-14","US","MX","0403109000",""
"Mexico","3","0403109000","YOGURT, NESOI","2017-2017","MT","98,039","68.4","109,104","72.0","136,997","86.6","100,153","69.8","31,751","24.6","96,197","56.8","21,058","12.5","3,724","1.0","2,865","0.8","2,866","0.8","5,732","1.6","0","0.0","608,486","395.0","","","US","MX","0403109000",""
"Mexico","3","0403109000","YOGURT, NESOI","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","8,165","2.3","15,714","4.4","0","0.0","5,776","5.4","5,775","5.4","5,587","5.4","3,285","0.9","14,401","10.8","58,703","34.6","338","1,078","US","MX","0403109000",""
